#OTU ID	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_desulfuricans	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Pseudoflavonifractor_capillosus	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
Bacteroides_stercoris	0.0099	0.0297	0.0099	0.0099	0.2970	0.0594	0.3069	0.0099	0.0099	0.0198	0.2079	0.0099	0.0099	0.0495	0.1386	0.4356	0.0099	0.0099	0.0396	0.0099	0.0099	1.0000	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.3564	0.1287	0.3069	0.7525	0.0990	0.7228	0.0297	0.2376	0.1881	0.3861	0.7030	0.0099	0.0198	0.0099	0.0198	0.0099	0.5446	0.4950	0.0198	0.0099	0.1089	0.0099	0.0099	0.4158	0.8317	0.0990	0.0198	0.2871	0.0693	0.0396	0.1089	0.9109	0.1485	0.3861	0.0693	0.0198	0.6832	0.0099	0.0297	0.3762	0.2673	0.4950	0.9703	0.4653	0.7525	0.6238	0.3069	0.0099	0.0099	0.6634	0.8713	0.0990	0.0099	0.3663	0.0099	0.0099	0.0495	0.0099	0.2178	0.0099	0.1584	0.0099	0.0099	0.3366	0.0891	0.2673	0.0099	0.0099	0.0396	0.3168	0.0396	0.5644	0.1980
Bacteroides_thetaiotaomicron	0.0099	0.5248	0.4356	0.4752	0.0099	0.7723	0.0099	0.1584	0.9406	0.1881	0.0099	0.1881	0.0099	0.0594	0.0297	0.0099	0.0099	0.0099	0.0099	0.0198	0.8416	0.0099	1.0000	0.7723	0.0099	0.1386	0.0099	0.1782	0.3960	0.0099	0.1386	0.4851	0.0099	0.1287	0.0099	0.5545	0.0099	0.0099	0.7426	0.8812	0.0099	0.0099	0.0099	0.1386	0.4257	0.7921	0.0099	0.0099	0.1089	0.0198	0.0099	0.0099	0.4158	0.0099	0.8515	0.8911	0.0297	0.2772	0.0099	0.6337	0.9505	0.0099	0.1485	0.6040	0.0396	0.9010	0.1287	0.3663	0.5545	0.0099	0.8020	0.2772	0.0099	0.0099	0.0099	0.1485	0.0198	0.0099	0.0099	0.2574	0.0891	0.8119	0.2376	0.3960	0.0099	0.0099	0.0396	0.2376	0.0099	0.7525	0.2772	0.0099	0.4257	0.7030	0.0099	0.7426	0.0099	0.9208	0.0099	0.0792	0.0099
Bacteroides_uniformis	0.0297	0.0099	0.0099	0.0099	0.0099	0.5446	0.8317	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.8020	0.0099	0.0693	0.0099	0.0693	0.0099	0.9010	0.0099	0.0099	0.7723	1.0000	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.5842	0.6337	0.0693	0.0099	0.0099	0.2574	0.0099	0.0099	0.0099	0.0099	0.0099	0.3465	0.0099	0.0099	0.1485	0.3564	0.0099	0.7129	0.0297	0.4356	0.0099	0.0099	0.0099	0.2574	0.0099	0.6238	0.7129	0.0693	0.7624	0.3465	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.2673	0.1089	0.0198	0.0099	0.6139	0.0099	0.0099	0.0099	0.0099	0.0099	0.3168	0.9406	0.0099	0.6040	0.0099	0.0792	0.0396	0.0099	0.0297	0.0198	0.0891	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099
Bacteroides_vulgatus	0.0594	0.0099	0.0099	0.0099	0.0297	0.3465	0.0198	0.0495	0.0198	0.0297	0.0198	0.0099	0.0099	0.0099	0.8317	0.3366	0.3762	0.0099	0.3267	0.0297	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.0099	0.0099	0.0693	0.0099	0.1881	0.2673	0.1782	0.0099	0.0099	0.5050	0.0099	0.0099	0.0198	0.2178	0.0099	0.4752	0.0099	0.1386	0.7525	0.0396	0.0099	0.2970	0.0297	0.0495	0.2871	0.4851	0.3267	0.2079	0.9307	0.1089	0.1386	0.0495	0.3564	0.0099	0.0396	0.0099	0.0099	0.2079	0.2277	0.0099	0.8119	0.2772	0.6040	0.0099	0.4653	0.0099	0.1089	0.9010	0.0099	0.0099	0.0099	0.0396	0.0594	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0594	0.0099	0.0297	0.2079	0.0297	0.0099	0.0099	0.0099	0.0594	0.0099	0.0099	0.0099	0.0099	0.0099
Bacteroides_xylanisolvens	0.0099	0.6832	0.2178	1.0000	0.0198	0.1287	0.0990	0.7624	0.0099	0.0198	0.0099	0.2970	0.0099	0.6040	0.0099	0.0099	0.0099	0.0396	0.8317	0.0099	0.0099	0.0099	0.1386	0.0099	0.0099	1.0000	0.0099	0.9802	0.4158	0.0099	0.3168	0.0099	0.0396	0.7921	0.0099	0.4950	0.7228	0.0099	0.9703	0.3168	0.0693	0.1980	0.0099	0.0198	0.0198	0.0198	0.0099	0.3564	0.2376	0.0693	0.6733	0.0594	0.2574	0.9109	0.1584	0.0396	0.4059	0.0396	0.0594	0.0099	0.6337	0.9901	0.0099	0.0693	0.0099	0.0099	0.0594	0.9505	0.4752	0.2475	0.0495	0.0198	0.5743	0.5941	0.2772	0.0099	0.0099	0.9703	0.9307	0.0099	0.6337	0.3069	0.0099	0.3069	0.1584	0.0594	0.8020	0.1386	0.0891	0.0099	0.6238	0.0792	0.1683	0.0099	0.2772	0.6535	0.5149	0.4653	0.2673	0.8218	0.3663
Barnesiella_intestinihominis	0.0099	0.4653	0.0099	0.9307	0.0099	0.0594	0.0099	0.5149	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.5545	0.0099	0.0099	0.0198	0.0099	0.4653	0.3465	0.0099	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.0099	0.0099	0.1881	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.8812	0.0198	0.0099	0.4455	0.7129	0.0099	0.0099	0.0099	0.0099	0.3267	0.9505	0.0099	0.0099	0.4851	0.0990	0.0099	0.0099	0.0099	0.0099	0.0396	0.0099	0.0594	0.0099	0.0099	0.3366	0.6139	0.0099	0.1782	0.6040	0.0297	0.0198	0.9109	0.0099	0.0792	0.0099	0.4653	0.1683	0.0297	0.0693	0.0099	0.0396	0.0990	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1485	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099
Bifidobacterium_adolescentis	0.8614	0.9406	0.0099	0.1881	0.0198	0.0099	0.0099	0.3267	0.0693	0.0297	0.1089	0.1485	0.0099	0.0099	0.0099	0.8614	0.2871	0.0099	0.0099	0.0099	0.0099	0.0099	0.1782	0.0099	0.0099	0.9802	0.0099	1.0000	0.0099	0.0099	0.0990	0.9307	0.8317	0.6535	0.5941	0.9703	0.8020	0.7822	0.5941	0.0297	0.6040	0.0099	0.6535	0.0099	0.0099	0.0297	0.0297	0.0099	0.0099	0.0099	0.0099	0.1881	0.1881	0.0099	0.0099	0.0099	0.7327	0.0099	0.0099	0.7525	0.3267	0.0198	0.0099	0.0099	0.5743	0.1584	0.0099	0.0099	0.3465	0.0099	0.3168	0.3663	0.0792	0.0099	0.2970	0.0099	0.0099	0.2970	0.2970	0.8812	0.0099	0.0594	0.0099	0.5347	0.1188	0.0891	0.6436	0.4257	0.0099	0.5842	0.0099	0.4653	0.0198	0.6337	0.0099	0.3861	0.3861	0.0099	0.6040	0.5644	0.4752
Bifidobacterium_bifidum	0.0099	0.9901	0.1485	0.5842	0.0099	0.0099	0.0099	0.5545	0.0099	0.0099	0.0099	0.0099	0.0099	0.0693	0.0099	0.0594	0.0099	1.0000	0.0099	0.0099	1.0000	0.3564	0.3960	1.0000	0.0693	0.4158	0.0099	0.0099	1.0000	0.1188	0.0099	0.0099	0.0099	0.4158	0.1287	0.0099	0.0099	0.0099	0.1782	0.5347	0.0099	0.0099	0.0099	0.0099	0.9208	0.9505	0.0099	0.0099	0.0099	0.0099	0.0891	0.0099	0.3960	0.1188	0.0099	0.0099	0.0099	0.0099	0.0099	0.4752	0.0297	0.0099	0.0099	0.8020	0.2970	0.0099	0.0099	0.0099	0.7921	0.3861	0.8713	0.0099	0.4158	0.1386	0.0099	0.0495	0.0099	0.7822	0.0792	0.0099	0.0099	0.2178	0.0099	0.3564	0.4653	0.6733	0.0396	0.0099	0.3168	0.0099	0.7525	0.0099	0.0099	0.0099	0.0495	0.1782	0.0099	0.9307	0.0693	0.0099	0.0198
Bifidobacterium_longum	0.2277	0.4554	0.0297	0.3762	0.0099	0.0099	0.0099	0.0099	0.0099	0.9406	0.0099	0.1287	0.0099	0.0495	0.9208	0.0594	0.0099	0.0099	0.0099	0.0099	0.0594	0.1287	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1188	1.0000	0.0099	0.2475	0.8911	0.9010	0.0099	0.1485	0.0099	0.0099	0.7129	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.1287	0.0099	0.9307	0.1584	0.5347	0.2277	0.0099	0.0099	0.0099	0.0198	0.7723	0.2673	0.1980	0.0693	0.0099	0.0099	0.0099	0.0099	0.7030	0.0099	0.0099	0.0099	0.0099	0.0099	0.7723	0.0099	0.0099	0.0099	0.4950	0.0198	0.1782	0.0099	0.5446	0.4554	0.0099	0.7030	0.0594	0.0693	0.0099	0.0198	0.0099	0.0198	0.0099	0.0099	0.2178	0.0594	0.0099	0.0099	0.0099	0.0099	0.2178	0.0099	0.0396	0.0099	0.0099	0.0099
Bilophila_unclassified	0.4752	0.0099	0.3960	0.0099	0.0297	0.0594	0.2277	0.1485	0.6436	0.3168	0.9307	0.1287	0.4158	0.0495	0.0099	0.0099	0.0099	0.3762	0.1287	0.0594	0.0099	0.3069	0.1386	0.5842	0.1881	0.3168	0.1881	0.0990	0.0099	0.0099	1.0000	0.0099	0.0099	0.9109	0.8317	0.0099	0.0099	0.2871	0.0495	0.0198	0.5842	0.0099	0.0099	0.4653	0.9307	0.3564	0.0099	0.0099	0.5644	0.0099	0.1881	0.6634	0.5149	0.6238	0.6535	0.9901	0.0099	0.0099	0.0099	0.0099	0.0495	0.1287	0.0099	0.0297	0.7129	0.0198	0.0099	0.5545	0.2079	0.0099	0.8416	0.0099	0.0099	0.0099	0.0099	0.0099	0.2376	0.0099	0.0693	0.2376	0.1980	0.9901	0.0099	0.0198	0.0198	0.8911	0.1386	0.9208	0.6139	0.0099	0.4653	0.0297	0.0495	0.0198	0.0396	0.0891	0.0198	0.0099	0.0099	0.0099	0.0099
Bilophila_wadsworthia	0.0099	0.0198	0.0099	0.2079	0.0990	0.0099	0.0396	0.9010	0.1089	0.3069	0.1188	0.0099	0.6832	0.4851	0.3069	0.0693	0.9307	0.6733	0.1485	0.3366	0.0891	0.7525	0.4851	0.6337	0.2673	0.0099	0.0099	0.9307	0.0099	0.2475	0.0099	1.0000	0.4950	0.0396	0.0099	0.0099	0.5446	0.0099	0.0099	0.0198	0.9307	0.0099	0.8317	0.0198	0.2871	0.3267	0.5545	0.9703	0.0891	0.0099	0.0693	0.0594	0.9406	0.0099	0.8218	0.0099	0.0198	0.0099	0.0198	0.3267	0.0099	0.0099	0.4356	0.0099	0.0495	0.1683	0.0792	0.7921	0.4851	0.0099	0.4851	0.9604	0.9604	0.0099	0.5149	0.5446	0.7624	0.0792	0.8317	0.0495	0.5347	0.0099	0.2970	0.6040	0.6733	0.0099	0.0198	0.6040	0.0099	0.7129	0.7525	0.1584	0.0396	0.0396	0.5446	0.3762	0.0198	0.0495	0.2376	0.0099	0.0297
Burkholderiales_bacterium_1_1_47	0.0099	0.0099	0.1782	0.0099	0.0099	0.0990	0.0099	0.4752	0.0099	0.0198	0.0099	0.2970	0.1089	0.0099	0.0594	0.0099	0.0099	0.0099	0.5149	0.0099	0.0198	0.0990	0.0099	0.0693	0.1782	0.0396	0.0099	0.8317	0.0099	0.8911	0.0099	0.4950	1.0000	0.0495	0.1683	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0792	0.7525	0.0099	0.0099	0.2772	0.0099	0.0099	0.0099	0.0099	0.2178	0.2673	0.2178	0.4653	0.6139	0.0099	0.6238	0.0099	0.6040	0.0099	0.6634	0.0396	0.2079	0.2673	0.1287	0.0099	0.0099	0.0594	0.0099	0.0198	0.0099	0.0099	0.0099	0.0198	0.0099	0.0198	0.0099	0.1287	0.1584	0.0198	0.5149	0.0099	0.0099	0.0099	0.4950	0.2178	0.0198	0.0396	0.0099	0.0495	0.0099	0.2574	0.4455	0.0099	0.0990	0.0099	0.7030	0.7525	0.6337	0.2178
C2likevirus_unclassified	0.7624	0.0099	0.8515	0.0099	0.0198	0.9109	0.0792	0.5149	0.4059	0.1485	0.0990	0.0099	0.1188	0.4356	0.4356	0.0099	0.1188	0.6436	0.4950	0.7129	0.4356	0.7228	0.1287	0.0099	0.0099	0.7921	0.0099	0.6535	0.4158	0.9010	0.9109	0.0396	0.0495	1.0000	0.0594	0.1584	0.0198	0.0396	0.0099	0.0495	0.0099	0.7723	0.0099	0.1485	0.8119	0.0594	0.0198	0.5149	0.1782	0.8515	0.0099	0.0099	0.0099	0.8317	0.3267	0.1485	0.7030	0.0693	0.4851	0.7525	0.0099	0.0099	0.0297	0.0693	0.0396	0.0099	0.7426	0.0297	0.1188	0.1881	0.6139	0.0099	0.0594	0.0198	0.7426	0.0594	0.8020	0.0891	0.0099	0.2277	0.0099	0.5050	0.0693	0.0495	0.0693	0.0099	0.3267	0.3960	0.0198	0.0198	0.0099	0.1386	0.0099	0.0099	0.2673	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099
Clostridiales_bacterium_1_7_47FAA	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.3960	0.0099	0.0099	0.0099	0.0099	0.1188	0.0792	0.0099	0.1188	0.0099	0.1089	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.5941	0.1287	0.0099	0.8317	0.0099	0.1683	0.0594	1.0000	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.1188	0.0099	0.2970	0.9604	0.0396	0.0099	0.1584	0.1980	0.0099	0.0099	0.0099	0.0099	0.0099	0.1782	0.0297	0.0099	0.0198	0.0297	0.1089	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.3069	0.4059	0.2277	0.0099	0.0099	0.9406	0.0099	0.0099	0.7129	0.0495	0.0099	0.0099	0.1584	0.4158	0.1683	0.0792	0.2772	0.0099	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.6634	0.0099	0.0099	0.0099	0.0099	0.0099
Clostridium_asparagiforme	0.8713	0.2574	0.0099	0.0198	0.0099	0.0099	0.0099	0.3663	0.0099	0.4356	0.0099	0.0099	0.0396	0.0099	0.0297	0.0099	0.0396	0.0198	0.0099	0.0099	0.1683	0.2376	0.5545	0.2574	0.5050	0.4950	0.0099	0.9703	0.0099	0.1485	0.0099	0.0099	0.0099	0.1584	0.0099	1.0000	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.6634	0.0099	0.0198	0.0099	0.0099	0.1386	0.0099	0.0099	0.0099	0.0099	0.0099	0.1683	0.0990	0.0099	0.0099	0.4653	0.0198	0.0099	0.2970	0.0099	0.0099	0.0990	0.0297	0.0396	0.0099	0.2574	0.0099	0.9406	0.0099	0.0495	0.0891	0.0099	0.0099	0.0396	0.0099	0.2178	0.0198	0.4653	0.0099	0.0495	0.0099	0.0099	0.0198	0.0792	0.0198	0.0099	0.0099	0.0099	0.6832	0.0396	0.1386	0.6040	0.0198	0.0099	0.0396	0.0099	0.0099	0.0099
Clostridium_bartlettii	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.9406	0.0099	0.0099	0.0099	0.0099	0.1584	0.0099	0.0297	0.0990	0.0099	0.9604	0.0099	0.1881	0.0099	0.0099	0.0099	0.7228	0.0099	0.8020	0.0099	0.0099	0.0099	0.5446	0.0099	0.0198	0.0099	0.0099	1.0000	0.0099	0.0099	0.0099	0.0099	0.0495	0.0099	0.4950	0.0198	0.1188	0.0099	0.4158	0.0099	0.2277	0.0198	0.0099	0.0099	0.0099	0.3267	0.0396	0.2772	0.0099	0.0594	0.2574	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0396	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.3069	0.0297	0.2475	0.0099	0.0099	0.6733	0.3069	0.0099	0.0099	0.6238	0.2970	0.0099	0.1188	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0693	0.0099	0.0099	0.0099	0.0099	0.0099
Clostridium_bolteae	0.9505	0.6832	0.4554	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.7723	0.0099	0.0099	0.0099	0.0099	0.6733	0.0990	0.0990	0.0792	0.3663	0.0198	0.9604	0.3861	0.0099	0.0099	0.0099	0.0099	0.0099	0.7822	0.0099	0.0099	0.2871	0.0099	0.0099	0.0396	0.0099	0.0099	0.0099	1.0000	0.0099	0.0099	0.0099	0.0495	0.0099	0.0396	0.0396	0.0396	0.0099	0.0792	0.1089	0.0792	0.0099	0.0099	0.0099	0.0099	0.4455	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0891	0.0099	0.1386	0.0099	0.0792	0.0396	0.1980	0.0099	0.2475	0.2673	0.0099	0.2079	0.3366	0.0198	0.0594	0.1386	0.5248	0.0099	0.0693	0.3663	0.6832	0.6634	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0198	0.1881	0.0099	0.0099	0.0099	0.0099	0.0099
Clostridium_citroniae	0.5347	0.0297	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.3168	0.0099	0.0099	0.0396	0.4653	0.0396	0.0099	0.0099	0.0990	0.1584	0.8515	0.8317	0.7030	0.7426	0.0099	0.0198	0.9703	0.0099	0.5941	0.1782	0.7129	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.0099	0.0198	0.0099	0.1188	0.0891	0.4950	0.0099	0.0099	0.7921	0.0792	0.0099	0.0099	0.0198	0.0099	0.0990	0.0495	0.0099	0.0099	0.0495	0.0099	0.0099	0.2475	0.0099	0.0099	0.8020	0.0099	0.4356	0.0099	0.9901	0.0495	0.0990	0.0099	0.3465	0.2178	0.0198	0.0099	0.1287	0.1287	0.0495	0.8317	0.6040	0.0099	0.2871	0.9802	0.2079	0.8119	0.0099	0.0396	0.0099	0.1188	0.0099	0.8713	0.0297	0.2277	0.2574	0.0099	0.0396	0.0297	0.0099	0.0099	0.0099
Clostridium_clostridioforme	0.1980	0.4257	0.6931	0.0099	0.0099	0.5743	0.0099	0.0099	0.0099	0.7327	0.0099	0.0099	0.4653	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.8812	0.0099	0.2178	0.3168	0.0099	0.0297	0.5347	0.0099	0.0198	0.0198	0.0099	0.0495	0.0099	0.0099	0.0099	0.0099	0.0099	1.0000	0.0099	0.0990	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.9802	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0891	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0495	0.0099	0.0099	0.0099	0.2079	0.7129	0.5644	0.0099	0.3366	0.7426	0.0594	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.8416	0.1188	0.0297	0.3168	0.0198	0.0099	0.0099	0.0099	0.0099	0.5248	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099
Clostridium_hathewayi	0.2475	0.3564	0.5446	0.0099	0.0099	0.0099	0.0099	0.4653	0.0099	0.6931	0.0099	0.0099	0.0099	0.0099	0.7228	0.0099	0.1386	0.0099	0.0099	0.0297	0.0099	0.0198	0.0099	0.0099	0.0099	0.0693	0.0099	0.6040	0.0099	0.0099	0.5842	0.9307	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	1.0000	0.4455	0.0099	0.3366	0.0099	0.0198	0.0099	0.0297	0.0396	0.0099	0.0099	0.0099	0.0099	0.0099	0.2970	0.2277	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0396	0.0099	0.0099	0.0099	0.0396	0.5644	0.1980	0.0099	0.2970	0.0099	0.0099	0.1188	0.2376	0.1683	0.0099	0.0198	0.2871	0.0099	0.1881	0.1881	0.8515	0.3762	0.2376	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.3465	0.0099	0.0099	0.0099	0.0099	0.0099
Clostridium_leptum	0.0099	0.0099	0.0099	0.0099	0.1287	0.0099	0.3762	0.9010	0.0099	0.1980	0.0099	0.6139	0.0099	0.2673	0.0297	0.9901	0.0099	0.2772	0.0099	0.0099	0.0198	0.0099	0.0099	0.3465	0.4752	0.1980	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.7723	0.1188	0.0099	0.0495	0.0495	0.0198	0.0990	0.4455	1.0000	0.3663	0.0099	0.0099	0.0099	0.4653	0.0099	0.1386	0.0297	0.0198	0.8317	0.9010	0.0594	0.0099	0.9010	0.0099	0.0099	0.0099	0.3267	0.0099	0.0099	0.0198	0.1782	0.7426	0.0099	0.0099	0.0099	0.0495	0.0099	0.3564	0.0099	0.0099	0.0099	0.4752	0.9802	0.0297	0.0099	0.0099	0.0099	0.7426	0.1980	0.0099	0.0099	0.4851	0.0099	0.0099	0.0198	0.0693	0.2871	0.0396	0.6139	0.1188	0.9109	0.1188	0.8911	0.0099	0.3366	0.1089	0.3762	0.0891
Clostridium_symbiosum	0.1386	0.0099	0.3069	0.0099	0.0099	0.0495	0.0099	0.0792	0.0099	0.7228	0.0099	0.0099	0.0099	0.0099	0.9109	0.0198	0.0099	0.0594	0.0099	0.0396	0.0297	0.0198	0.0099	0.0099	0.0099	0.0099	0.0099	0.6535	0.0099	0.0099	0.0099	0.8317	0.0792	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.3663	1.0000	0.3663	0.0099	0.0297	0.0099	0.0990	0.0594	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0891	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.4059	0.5941	0.6436	0.0099	0.0099	0.0099	0.0198	0.0099	1.0000	0.7624	0.0099	0.0198	0.0099	0.1089	0.0099	0.0891	0.7426	0.2079	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0099	0.0297	0.0099	0.0099	0.0099	0.0099	0.0099
Collinsella_aerofaciens	0.0099	0.0099	0.0099	0.7624	0.5545	0.0099	0.0099	0.8416	0.0693	0.0099	0.0099	0.0198	0.0099	0.2376	0.0099	0.1089	0.1683	0.0891	0.0099	0.0099	0.0099	0.0099	0.1386	0.0099	0.1386	0.0198	0.0099	0.0099	0.0099	0.0099	0.4653	0.0198	0.7525	0.1485	0.2970	0.6634	0.4950	0.0396	0.1188	0.0099	0.3366	0.0099	0.3663	1.0000	0.2871	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0297	0.0495	0.0099	0.0099	0.0099	0.1782	0.0297	0.0099	0.0099	0.6436	0.0495	0.0099	0.0099	0.0594	0.9703	0.1683	0.0198	0.0396	0.0594	0.0099	0.5248	0.2673	0.3762	0.3861	0.0099	0.0099	0.0099	0.0099	0.8713	0.0099	0.0099	0.0099	0.0099	0.1980	0.0297	0.3663	0.0594	0.3366	0.0099	0.0099	0.0396	0.7030	0.0297	0.0099	0.6931	0.0099	0.0099	0.0099	0.1287	0.2376
Coprococcus_catus	0.0099	0.0099	0.1485	0.0099	0.0891	0.9604	0.0297	0.0099	0.0099	0.0594	0.2376	0.1188	0.5149	0.0891	0.6238	0.0099	0.8515	0.0099	0.0396	0.0099	0.0099	0.5446	0.4257	0.1485	0.7525	0.0198	0.0099	0.0099	0.9208	0.0198	0.9307	0.2871	0.0099	0.8119	0.9604	0.0099	0.0198	0.0396	0.0891	0.0099	0.0099	0.0099	0.0099	0.2871	1.0000	0.0099	0.7030	0.0099	0.0099	0.0099	0.0198	0.3762	0.0792	0.0099	0.0099	0.0099	0.0099	0.0198	0.0099	0.0099	0.0099	0.0792	0.0297	0.9406	0.9010	0.0297	0.1980	0.0198	0.0099	0.0099	0.1089	0.2871	0.0099	0.0198	0.1188	0.4356	0.1485	0.0297	0.0198	0.0099	0.0297	0.0099	0.0099	0.0099	0.9802	0.0099	0.0099	0.0099	0.0396	0.7327	0.0099	0.0099	0.3960	0.1584	0.8515	0.1089	0.0099	0.7723	0.4554	0.1584	0.0495
